Date;Filière;Valeur (TWh)
1995-01;"Consommation corrigée";41,841
1995-02;"Consommation corrigée";35,809
1995-03;"Consommation corrigée";36,725
1995-04;"Consommation corrigée";31,498
1995-05;"Consommation corrigée";28,837
1995-06;"Consommation corrigée";27,24
1995-07;"Consommation corrigée";27,929
1995-08;"Consommation corrigée";25,889
1995-09;"Consommation corrigée";27,465
1995-10;"Consommation corrigée";31,429
1995-11;"Consommation corrigée";35,467
1995-12;"Consommation corrigée";39,112
1996-01;"Consommation corrigée";42,204
1996-02;"Consommation corrigée";35,965
1996-03;"Consommation corrigée";36,868
1996-04;"Consommation corrigée";32,152
1996-05;"Consommation corrigée";28,827
1996-06;"Consommation corrigée";27,414
1996-07;"Consommation corrigée";28,486
1996-08;"Consommation corrigée";25,524
1996-09;"Consommation corrigée";27,806
1996-10;"Consommation corrigée";32,307
1996-11;"Consommation corrigée";36,087
1996-12;"Consommation corrigée";40,91
1997-01;"Consommation corrigée";41,682
1997-02;"Consommation corrigée";37,165
1997-03;"Consommation corrigée";36,755
1997-04;"Consommation corrigée";33,105
1997-05;"Consommation corrigée";29,417
1997-06;"Consommation corrigée";28,152
1997-07;"Consommation corrigée";29,148
1997-08;"Consommation corrigée";26,941
1997-09;"Consommation corrigée";28,44
1997-10;"Consommation corrigée";32,903
1997-11;"Consommation corrigée";36,469
1997-12;"Consommation corrigée";41,676
1998-01;"Consommation corrigée";43,407
1998-02;"Consommation corrigée";37,448
1998-03;"Consommation corrigée";38,836
1998-04;"Consommation corrigée";34,249
1998-05;"Consommation corrigée";30,313
1998-06;"Consommation corrigée";29,048
1998-07;"Consommation corrigée";29,978
1998-08;"Consommation corrigée";27,306
1998-09;"Consommation corrigée";29,569
1998-10;"Consommation corrigée";33,984
1998-11;"Consommation corrigée";37,127
1998-12;"Consommation corrigée";42,997
1999-01;"Consommation corrigée";44,128
1999-02;"Consommation corrigée";38,181
1999-03;"Consommation corrigée";39,371
1999-04;"Consommation corrigée";34,716
1999-05;"Consommation corrigée";30,739
1999-06;"Consommation corrigée";29,93
1999-07;"Consommation corrigée";30,727
1999-08;"Consommation corrigée";27,8
1999-09;"Consommation corrigée";30,405
1999-10;"Consommation corrigée";34,512
1999-11;"Consommation corrigée";38,407
1999-12;"Consommation corrigée";43,883
2000-01;"Consommation corrigée";44,793
2000-02;"Consommation corrigée";39,577
2000-03;"Consommation corrigée";40,372
2000-04;"Consommation corrigée";35,433
2000-05;"Consommation corrigée";32,42
2000-06;"Consommation corrigée";30,201
2000-07;"Consommation corrigée";30,676
2000-08;"Consommation corrigée";29,042
2000-09;"Consommation corrigée";30,864
2000-10;"Consommation corrigée";35,434
2000-11;"Consommation corrigée";40,292
2000-12;"Consommation corrigée";44,717
2001-01;"Consommation corrigée";44,997
2001-02;"Consommation corrigée";38,842
2001-03;"Consommation corrigée";39,55
2001-04;"Consommation corrigée";33,587
2001-05;"Consommation corrigée";31,532
2001-06;"Consommation corrigée";30,476
2001-07;"Consommation corrigée";31,26
2001-08;"Consommation corrigée";29,111
2001-09;"Consommation corrigée";31,024
2001-10;"Consommation corrigée";34,755
2001-11;"Consommation corrigée";39,334
2001-12;"Consommation corrigée";44,364
2002-01;"Consommation corrigée";46,144
2002-02;"Consommation corrigée";39,972
2002-03;"Consommation corrigée";39,755
2002-04;"Consommation corrigée";34,43
2002-05;"Consommation corrigée";31,815
2002-06;"Consommation corrigée";31,182
2002-07;"Consommation corrigée";32,592
2002-08;"Consommation corrigée";29,243
2002-09;"Consommation corrigée";31,294
2002-10;"Consommation corrigée";35,78
2002-11;"Consommation corrigée";39,546
2002-12;"Consommation corrigée";44,911
2003-01;"Consommation corrigée";46,917
2003-02;"Consommation corrigée";40,635
2003-03;"Consommation corrigée";40,552
2003-04;"Consommation corrigée";35,037
2003-05;"Consommation corrigée";31,885
2003-06;"Consommation corrigée";30,971
2003-07;"Consommation corrigée";32,554
2003-08;"Consommation corrigée";29,083
2003-09;"Consommation corrigée";31,649
2003-10;"Consommation corrigée";35,978
2003-11;"Consommation corrigée";40,374
2003-12;"Consommation corrigée";46,18
2004-01;"Consommation corrigée";47,699
2004-02;"Consommation corrigée";40,78
2004-03;"Consommation corrigée";41,739
2004-04;"Consommation corrigée";35,323
2004-05;"Consommation corrigée";32,389
2004-06;"Consommation corrigée";32,168
2004-07;"Consommation corrigée";32,989
2004-08;"Consommation corrigée";29,896
2004-09;"Consommation corrigée";32,344
2004-10;"Consommation corrigée";36,467
2004-11;"Consommation corrigée";40,929
2004-12;"Consommation corrigée";46,87
2005-01;"Consommation corrigée";48,367
2005-02;"Consommation corrigée";41,727
2005-03;"Consommation corrigée";41,757
2005-04;"Consommation corrigée";35,48
2005-05;"Consommation corrigée";32,827
2005-06;"Consommation corrigée";32,445
2005-07;"Consommation corrigée";32,875
2005-08;"Consommation corrigée";30,455
2005-09;"Consommation corrigée";32,45
2005-10;"Consommation corrigée";35,998
2005-11;"Consommation corrigée";40,968
2005-12;"Consommation corrigée";47,599
2006-01;"Consommation corrigée";49,139947
2006-02;"Consommation corrigée";42,197895
2006-03;"Consommation corrigée";42,818028
2006-04;"Consommation corrigée";35,366784
2006-05;"Consommation corrigée";33,464529
2006-06;"Consommation corrigée";32,747218
2006-07;"Consommation corrigée";33,371764
2006-08;"Consommation corrigée";30,854364
2006-09;"Consommation corrigée";32,726167
2006-10;"Consommation corrigée";36,604664
2006-11;"Consommation corrigée";42,517994
2006-12;"Consommation corrigée";48,463162
2007-01;"Consommation corrigée";50,039
2007-02;"Consommation corrigée";42,853
2007-03;"Consommation corrigée";43,089
2007-04;"Consommation corrigée";36,021
2007-05;"Consommation corrigée";33,901
2007-06;"Consommation corrigée";32,872
2007-07;"Consommation corrigée";33,872
2007-08;"Consommation corrigée";31,44
2007-09;"Consommation corrigée";33,135
2007-10;"Consommation corrigée";37,778
2007-11;"Consommation corrigée";42,921
2007-12;"Consommation corrigée";49,425
2008-01;"Consommation corrigée";51,446030351
2008-02;"Consommation corrigée";43,697786331
2008-03;"Consommation corrigée";43,9178854
2008-04;"Consommation corrigée";37,601661285
2008-05;"Consommation corrigée";33,84022976
2008-06;"Consommation corrigée";33,099318151
2008-07;"Consommation corrigée";34,552070863
2008-08;"Consommation corrigée";31,436895418
2008-09;"Consommation corrigée";33,731632281
2008-10;"Consommation corrigée";38,057974338
2008-11;"Consommation corrigée";42,631386197
2008-12;"Consommation corrigée";48,871667107
2009-01;"Consommation corrigée";50,695
2009-02;"Consommation corrigée";43,754
2009-03;"Consommation corrigée";42,867
2009-04;"Consommation corrigée";35,918
2009-05;"Consommation corrigée";32,494
2009-06;"Consommation corrigée";32,207
2009-07;"Consommation corrigée";33,718
2009-08;"Consommation corrigée";31,013
2009-09;"Consommation corrigée";32,905
2009-10;"Consommation corrigée";37,322
2009-11;"Consommation corrigée";43,292
2009-12;"Consommation corrigée";49,515
2010-01;"Consommation corrigée";51,012
2010-02;"Consommation corrigée";44,417
2010-03;"Consommation corrigée";45,428
2010-04;"Consommation corrigée";36,936
2010-05;"Consommation corrigée";33,497
2010-06;"Consommation corrigée";33,016
2010-07;"Consommation corrigée";34,269
2010-08;"Consommation corrigée";31,712
2010-09;"Consommation corrigée";33,275
2010-10;"Consommation corrigée";37,378
2010-11;"Consommation corrigée";43,633
2010-12;"Consommation corrigée";50,931
2011-01;"Consommation corrigée";52,87
2011-02;"Consommation corrigée";45,084
2011-03;"Consommation corrigée";45,749
2011-04;"Consommation corrigée";37,197
2011-05;"Consommation corrigée";34,654
2011-06;"Consommation corrigée";33,091
2011-07;"Consommation corrigée";34,196
2011-08;"Consommation corrigée";32,038
2011-09;"Consommation corrigée";33,434
2011-10;"Consommation corrigée";37,287
2011-11;"Consommation corrigée";43,781
2011-12;"Consommation corrigée";51,139
2012-01;"Consommation corrigée";53,144
2012-02;"Consommation corrigée";45,503
2012-03;"Consommation corrigée";45,307
2012-04;"Consommation corrigée";37,31
2012-05;"Consommation corrigée";34,017
2012-06;"Consommation corrigée";33,124
2012-07;"Consommation corrigée";34,363
2012-08;"Consommation corrigée";32,011
2012-09;"Consommation corrigée";33,082
2012-10;"Consommation corrigée";38,215
2012-11;"Consommation corrigée";43,64
2012-12;"Consommation corrigée";50,977
2013-01;"Consommation corrigée";53,019
2013-02;"Consommation corrigée";45,671
2013-03;"Consommation corrigée";45,474
2013-04;"Consommation corrigée";37,446
2013-05;"Consommation corrigée";33,847
2013-06;"Consommation corrigée";32,767
2013-07;"Consommation corrigée";34,444
2013-08;"Consommation corrigée";31,524
2013-09;"Consommation corrigée";33,042
2013-10;"Consommation corrigée";37,745
2013-11;"Consommation corrigée";43,851
2013-12;"Consommation corrigée";51,024
2014-01;"Consommation corrigée";53,196
2014-02;"Consommation corrigée";46,008
2014-03;"Consommation corrigée";45,053
2014-04;"Consommation corrigée";37,535
2014-05;"Consommation corrigée";33,808
2014-06;"Consommation corrigée";32,487
2014-07;"Consommation corrigée";34,017
2014-08;"Consommation corrigée";31,189
2014-09;"Consommation corrigée";33,126
2014-10;"Consommation corrigée";37,45
2014-11;"Consommation corrigée";43,522
2014-12;"Consommation corrigée";51,162
2015-01;"Consommation corrigée";52,975
2015-02;"Consommation corrigée";45,728
2015-03;"Consommation corrigée";45,351
2015-04;"Consommation corrigée";37,247
2015-05;"Consommation corrigée";33,367
2015-06;"Consommation corrigée";33,071
2015-07;"Consommation corrigée";34,299
2015-08;"Consommation corrigée";31,137
2015-09;"Consommation corrigée";33,153
2015-10;"Consommation corrigée";37,479
2015-11;"Consommation corrigée";44,156
2015-12;"Consommation corrigée";51,259
2016-01;"Consommation corrigée";52,899
2016-02;"Consommation corrigée";47,471
2016-03;"Consommation corrigée";45,163
2016-04;"Consommation corrigée";37,165
2016-05;"Consommation corrigée";33,616
2016-06;"Consommation corrigée";32,763
2016-07;"Consommation corrigée";33,707
2016-08;"Consommation corrigée";31,878
2016-09;"Consommation corrigée";32,9
2016-10;"Consommation corrigée";37,119
2016-11;"Consommation corrigée";43,941
2016-12;"Consommation corrigée";50,692
2017-01;"Consommation corrigée";53,362
2017-02;"Consommation corrigée";45,778
2017-03;"Consommation corrigée";45,868
2017-04;"Consommation corrigée";36,276
2017-05;"Consommation corrigée";33,848
2017-06;"Consommation corrigée";33,093
2017-07;"Consommation corrigée";33,798
2017-08;"Consommation corrigée";31,908
2017-09;"Consommation corrigée";33,147
2017-10;"Consommation corrigée";37,312
2017-11;"Consommation corrigée";43,772
2017-12;"Consommation corrigée";51,286
2018-01;"Consommation corrigée";53,912
2018-02;"Consommation corrigée";46,095
2018-03;"Consommation corrigée";45,59
2018-04;"Consommation corrigée";36,952
2018-05;"Consommation corrigée";33,22
2018-06;"Consommation corrigée";32,221
2018-07;"Consommation corrigée";33,879
2018-08;"Consommation corrigée";31,829
2018-09;"Consommation corrigée";32,415
2018-10;"Consommation corrigée";36,848
2018-11;"Consommation corrigée";43,655
2018-12;"Consommation corrigée";50,977
2019-01;"Consommation corrigée";53,328
2019-02;"Consommation corrigée";45,81
2019-03;"Consommation corrigée";45,761
2019-04;"Consommation corrigée";37,015
2019-05;"Consommation corrigée";33,524
2019-06;"Consommation corrigée";32,104
2019-07;"Consommation corrigée";34,217
2019-08;"Consommation corrigée";31,319
2019-09;"Consommation corrigée";32,144
2019-10;"Consommation corrigée";37,27
2019-11;"Consommation corrigée";43,091
2019-12;"Consommation corrigée";50,819
2020-01;"Consommation corrigée";52,608
2020-02;"Consommation corrigée";47,273
2020-03;"Consommation corrigée";42,814
2020-04;"Consommation corrigée";32,748
2020-05;"Consommation corrigée";30,028
2020-06;"Consommation corrigée";30,604
2020-07;"Consommation corrigée";32,916
2020-08;"Consommation corrigée";30,755
2020-09;"Consommation corrigée";31,694
2020-10;"Consommation corrigée";37,08
2020-11;"Consommation corrigée";42,041
2020-12;"Consommation corrigée";49,626
2021-01;"Consommation corrigée";52,258
2021-02;"Consommation corrigée";44,769
2021-03;"Consommation corrigée";43,581
2021-04;"Consommation corrigée";35,176
2021-05;"Consommation corrigée";32,175
2021-06;"Consommation corrigée";31,579
2021-07;"Consommation corrigée";32,982
2021-08;"Consommation corrigée";30,959
2021-09;"Consommation corrigée";31,971
2021-10;"Consommation corrigée";36,463
2021-11;"Consommation corrigée";42,721
2021-12;"Consommation corrigée";50,756
2022-01;"Consommation corrigée";52,924
2022-02;"Consommation corrigée";45,249
2022-03;"Consommation corrigée";44,956
2022-04;"Consommation corrigée";36,369
2022-05;"Consommation corrigée";32,836
2022-06;"Consommation corrigée";31,85
2022-07;"Consommation corrigée";33,014
2022-08;"Consommation corrigée";30,95
2022-09;"Consommation corrigée";31,056
2022-10;"Consommation corrigée";34,286
2022-11;"Consommation corrigée";40,074
2022-12;"Consommation corrigée";46,672
2023-01;"Consommation corrigée";49,575
2023-02;"Consommation corrigée";42,218
2023-03;"Consommation corrigée";42,068
2023-04;"Consommation corrigée";34,155
2023-05;"Consommation corrigée";31,19
2023-06;"Consommation corrigée";30,082
2023-07;"Consommation corrigée";31,978
