maille;date_jour;jour_semaine;semaine;annee;donnees;conso_corrigee;borne_inf;borne_sup;borne_moyenne;conso_brute;borne_inf_brute;borne_sup_brute;borne_moyenne_brute
jour;2024-03-30;13_6;13;2024;ETR;48851,1304166667;51494,7620833333;53392,9583333333;52413,4004740338;47495,2916666667;47199,7084375000;58223,7480625000;52865,7192118056
jour;2024-03-30;13_6;13;2023;ETR;48288,9502083333;NA;NA;NA;44693,0833333333;NA;NA;NA
jour;2024-03-30;13_6;13;2022;ETR;51171,7310416667;NA;NA;NA;62980,3833333333;NA;NA;NA
jour;2024-03-30;13_6;13;2021;ETR;50188,2338541667;NA;NA;NA;46567,7592500000;NA;NA;NA
jour;2024-03-30;13_6;13;2020;ETR;46568,8760416667;NA;NA;NA;47426,8277708333;NA;NA;NA
jour;2024-03-29;13_5;13;2024;ETR;53593,0225000000;57040,7941666667;59060,3729166667;57970,6529981884;51552,0625000000;50497,1154791667;63171,9708958333;59090,2306006944
jour;2024-03-29;13_5;13;2023;ETR;53091,5052083333;NA;NA;NA;47279,2291666667;NA;NA;NA
jour;2024-03-29;13_5;13;2022;ETR;56332,8710416667;NA;NA;NA;65285,9645833333;NA;NA;NA
jour;2024-03-29;13_5;13;2021;ETR;55376,8597916667;NA;NA;NA;47613,7217916667;NA;NA;NA
jour;2024-03-29;13_5;13;2020;ETR;48895,3365217391;NA;NA;NA;52067,1323541667;NA;NA;NA
jour;2024-03-28;13_4;13;2024;ETR;54501,9435416667;57159,3375000000;60299,5746376812;58663,7195229469;54156,3125000000;51809,8065833333;66532,3546458333;60502,8930381944
jour;2024-03-28;13_4;13;2023;ETR;53202,2406250000;NA;NA;NA;46227,5000000000;NA;NA;NA
jour;2024-03-28;13_4;13;2022;ETR;55578,2897916667;NA;NA;NA;58043,5583333333;NA;NA;NA
jour;2024-03-28;13_4;13;2021;ETR;57311,3733333333;NA;NA;NA;48098,2481041667;NA;NA;NA
jour;2024-03-28;13_4;13;2020;ETR;49424,0927083333;NA;NA;NA;53071,2531250000;NA;NA;NA
jour;2024-03-27;13_3;13;2024;ETR;54389,4293750000;57395,3187500000;60377,8477083333;59086,9727189010;54888,1875000000;53214,0905416667;65645,5526875000;60618,2578784722
jour;2024-03-27;13_3;13;2023;ETR;53675,3500000000;NA;NA;NA;49477,5208333333;NA;NA;NA
jour;2024-03-27;13_3;13;2022;ETR;56825,0577083333;NA;NA;NA;54083,8916666667;NA;NA;NA
jour;2024-03-27;13_3;13;2021;ETR;58235,8850996377;NA;NA;NA;48222,5272708333;NA;NA;NA
jour;2024-03-27;13_3;13;2020;ETR;50103,1150000000;NA;NA;NA;52247,2761250000;NA;NA;NA
jour;2024-03-26;13_2;13;2024;ETR;54561,5135416667;57764,9645833333;60378,6856250000;59221,0656250000;53727,3333333333;54089,7674791667;64144,0285833333;60746,4432881944
jour;2024-03-26;13_2;13;2023;ETR;53547,3397916667;NA;NA;NA;54027,9166666667;NA;NA;NA
jour;2024-03-26;13_2;13;2022;ETR;57374,5461050725;NA;NA;NA;51963,0375000000;NA;NA;NA
jour;2024-03-26;13_2;13;2021;ETR;58319,7001041667;NA;NA;NA;49629,5210208333;NA;NA;NA
jour;2024-03-26;13_2;13;2020;ETR;50962,4266666667;NA;NA;NA;51273,8036458333;NA;NA;NA
jour;2024-03-25;13_1;13;2024;ETR;53053,1327083333;56748,1354166667;59588,9125000000;58284,0741775362;52054,9791666667;54594,4343750000;62167,9539583333;59645,0481916667
jour;2024-03-25;13_1;13;2023;ETR;53218,0115942029;NA;NA;NA;51916,8750000000;NA;NA;NA
jour;2024-03-25;13_1;13;2022;ETR;57070,2066666667;NA;NA;NA;50717,3489361702;NA;NA;NA
jour;2024-03-25;13_1;13;2021;ETR;57403,6778125000;NA;NA;NA;51659,9343333333;NA;NA;NA
jour;2024-03-25;13_1;13;2020;ETR;50984,9927083333;NA;NA;NA;50116,5550833333;NA;NA;NA
jour;2024-03-24;12_7;12;2024;ETR;47092,1458333333;50480,2895833333;52097,8395833333;51524,3658816425;45027,7708333333;49069,5305208333;55643,8389166667;52352,3969781099
jour;2024-03-24;12_7;12;2023;ETR;47565,7823913043;NA;NA;NA;43998,7608695652;NA;NA;NA
