Date;Filière;Valeur (TWh)
1995-01;"Nucléaire";36,909
1995-02;"Nucléaire";30,157
1995-03;"Nucléaire";32,737
1995-04;"Nucléaire";29,125
1995-05;"Nucléaire";26,749
1995-06;"Nucléaire";25,495
1995-07;"Nucléaire";26,685
1995-08;"Nucléaire";27,486
1995-09;"Nucléaire";26,508
1995-10;"Nucléaire";29,582
1995-11;"Nucléaire";32,815
1995-12;"Nucléaire";34,531
1996-01;"Nucléaire";36,782
1996-02;"Nucléaire";34,024
1996-03;"Nucléaire";34,341
1996-04;"Nucléaire";31,693
1996-05;"Nucléaire";28,81
1996-06;"Nucléaire";26,22
1996-07;"Nucléaire";28,556
1996-08;"Nucléaire";28,291
1996-09;"Nucléaire";29,29
1996-10;"Nucléaire";32,395
1996-11;"Nucléaire";33,218
1996-12;"Nucléaire";34,605
1997-01;"Nucléaire";35,313
1997-02;"Nucléaire";31,136
1997-03;"Nucléaire";32,66
1997-04;"Nucléaire";33,205
1997-05;"Nucléaire";29,722
1997-06;"Nucléaire";27,728
1997-07;"Nucléaire";28,69
1997-08;"Nucléaire";27,994
1997-09;"Nucléaire";28,908
1997-10;"Nucléaire";32,644
1997-11;"Nucléaire";33,259
1997-12;"Nucléaire";34,676
1998-01;"Nucléaire";36,954
1998-02;"Nucléaire";33,565
1998-03;"Nucléaire";34,315
1998-04;"Nucléaire";29,984
1998-05;"Nucléaire";28,369
1998-06;"Nucléaire";27,214
1998-07;"Nucléaire";27,803
1998-08;"Nucléaire";24,47
1998-09;"Nucléaire";27,45
1998-10;"Nucléaire";31,551
1998-11;"Nucléaire";32,598
1998-12;"Nucléaire";34,227
1999-01;"Nucléaire";36,266
1999-02;"Nucléaire";32,072
1999-03;"Nucléaire";32,785
1999-04;"Nucléaire";31,826
1999-05;"Nucléaire";26,807
1999-06;"Nucléaire";27,098
1999-07;"Nucléaire";29,901
1999-08;"Nucléaire";28,715
1999-09;"Nucléaire";29,687
1999-10;"Nucléaire";32,075
1999-11;"Nucléaire";32,92
1999-12;"Nucléaire";34,762
2000-01;"Nucléaire";36,298
2000-02;"Nucléaire";33,699
2000-03;"Nucléaire";35,869
2000-04;"Nucléaire";32,216
2000-05;"Nucléaire";30,667
2000-06;"Nucléaire";29,45
2000-07;"Nucléaire";31,112
2000-08;"Nucléaire";30,301
2000-09;"Nucléaire";31,039
2000-10;"Nucléaire";33,379
2000-11;"Nucléaire";34,639
2000-12;"Nucléaire";36,531
2001-01;"Nucléaire";38,723
2001-02;"Nucléaire";33,166
